latitude,longitude,type
40.7177325,-74.043845,start
40.71517768,-74.03768331,start
40.7242941,-74.0354826,start
40.7311689,-74.0575736,start
40.7192517,-74.034234,start
40.7192517,-74.034234,start
40.7162469,-74.0334588,start
40.72533993,-74.06762213,start
40.72759597,-74.04424731,start
40.7376037,-74.0524783,start
40.72333159,-74.04595256,start
40.72759597,-74.04424731,start
40.71958612,-74.04311746,start
40.72568548,-74.04879034,start
40.72163014,-74.04996783,start
40.71458404,-74.04281706,start
40.71241882,-74.03852552,start
40.72755147,-74.07106072,start
40.7241765,-74.0506564,start
40.72759597,-74.04424731,start
40.7127742,-74.0364857,start
40.7236589,-74.0641943,start
40.72759597,-74.04424731,start
40.72601173,-74.05038893,start
40.72572614,-74.07195926,start
40.72528911,-74.04557168,start
40.72163014,-74.04996783,start
40.7287448,-74.0321082,start
40.7192517,-74.034234,start
40.72528911,-74.04557168,start
40.71241882,-74.03852552,start
40.71458404,-74.04281706,start
40.71241882,-74.03852552,start
40.72163014,-74.04996783,start
40.71458404,-74.04281706,start
40.71113,-74.0789,start
40.74590997,-74.05727148,start
40.7241765,-74.0506564,start
40.71848892,-74.04772663,start
40.7127742,-74.0364857,start
40.72163014,-74.04996783,start
40.71958612,-74.04311746,start
40.71848892,-74.04772663,start
40.74267714,-74.05178863,start
40.7141454,-74.0335519,start
40.72533993,-74.06762213,start
40.7287448,-74.0321082,start
40.71458404,-74.04281706,start
40.71241882,-74.03852552,start
40.72759597,-74.04424731,start
40.72528911,-74.04557168,start
40.71458404,-74.04281706,start
40.71458404,-74.04281706,start
40.71241882,-74.03852552,start
40.7287448,-74.0321082,start
40.7211236,-74.03805095,start
40.7183552,-74.03891444,start
40.7112423,-74.0557013,start
40.72568548,-74.04879034,start
40.71958612,-74.04311746,start
40.72759597,-74.04424731,start
40.72759597,-74.04424731,start
40.72572614,-74.07195926,start
40.72528911,-74.04557168,start
40.7177325,-74.043845,start
40.71241882,-74.03852552,start
40.72210379,-74.071455,start
40.72163014,-74.04996783,start
40.72528911,-74.04557168,start
40.7183552,-74.03891444,start
40.72572614,-74.07195926,start
40.72601173,-74.05038893,start
40.72210379,-74.071455,start
40.72759597,-74.04424731,start
40.71958612,-74.04311746,start
40.71241882,-74.03852552,start
40.72533993,-74.06762213,start
40.72572614,-74.07195926,start
40.7192822,-74.07126188,start
40.72568548,-74.04879034,start
40.72163014,-74.04996783,start
40.7242941,-74.0354826,start
40.72568548,-74.04879034,start
40.72533993,-74.06762213,start
40.72601173,-74.05038893,start
40.7287448,-74.0321082,start
40.7211236,-74.03805095,start
40.7162469,-74.0334588,start
40.72759597,-74.04424731,start
